epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.682,1.1967,3.40742,1.05103,0.0259,0.98,0.05963,0.04769,0.47272,3.27809,0.81076,6.668e-05,6.668e-05,6.668e-05
2,42.0367,1.03367,2.77265,0.99075,0.02451,1,0.54906,0.46407,0.59811,2.92078,0.79447,0.000148545,0.000148545,0.000148545
3,62.5675,1.08874,1.79735,0.97222,0.02374,1,0.59106,0.43093,0.78232,2.58418,0.82213,0.000228759,0.000228759,0.000228759
4,82.7085,0.96653,1.20095,0.95519,0.63467,0.65167,0.68271,0.51683,0.95263,2.30502,0.8438,0.000307323,0.000307323,0.000307323
5,102.931,0.99617,0.99713,0.94794,0.88813,0.71,0.9025,0.68688,0.82322,2.03264,0.82967,0.000384237,0.000384237,0.000384237
6,123.411,0.94267,0.92817,0.94322,0.97995,0.81848,0.97882,0.71278,0.78574,1.85744,0.81673,0.0004595,0.0004595,0.0004595
7,143.779,0.8836,0.82847,0.92178,0.97496,0.81861,0.98382,0.67746,0.75246,1.79429,0.83577,0.000533113,0.000533113,0.000533113
8,163.951,0.93627,0.8747,0.96068,1,0.92612,0.985,0.7838,0.76616,1.61369,0.84727,0.000605076,0.000605076,0.000605076
9,184.275,0.84713,0.77483,0.92579,1,0.97086,0.995,0.78953,0.78147,1.48272,0.8672,0.000675388,0.000675388,0.000675388
10,204.398,0.83794,0.74691,0.91473,0.99061,0.97615,0.995,0.84881,0.59396,1.53466,0.83248,0.00074405,0.00074405,0.00074405
11,224.751,0.89234,0.73516,0.93973,0.99118,0.98126,0.995,0.85966,0.57752,1.49432,0.83063,0.000811062,0.000811062,0.000811062
12,244.941,0.82575,0.72651,0.91642,0.9355,0.86138,0.995,0.84044,0.58667,1.54041,0.83775,0.000876424,0.000876424,0.000876424
13,265.082,0.75525,0.67966,0.88551,0.91075,0.82945,0.995,0.83178,0.61396,1.49441,0.83814,0.000940135,0.000940135,0.000940135
14,286.168,0.76334,0.6324,0.89515,0.9832,0.97283,0.995,0.83399,0.66806,1.08384,0.85648,0.0010022,0.0010022,0.0010022
15,308.136,0.78357,0.63266,0.90904,0.98303,0.9879,0.995,0.86625,0.59289,0.88687,0.83935,0.00106261,0.00106261,0.00106261
16,328.441,0.76081,0.64222,0.89673,0.98228,0.9879,0.995,0.86163,0.58382,0.89848,0.8308,0.00112137,0.00112137,0.00112137
17,348.649,0.75509,0.62245,0.89735,0.98501,0.96249,0.97529,0.86583,0.53524,1.01433,0.82711,0.00117848,0.00117848,0.00117848
18,368.849,0.78522,0.62057,0.89032,0.99366,0.97568,0.99286,0.87254,0.51392,0.92146,0.82596,0.00123394,0.00123394,0.00123394
19,388.998,0.72768,0.61477,0.88912,0.9912,1,0.995,0.86491,0.54202,0.81188,0.82436,0.00128774,0.00128774,0.00128774
20,409.201,0.7819,0.62242,0.90107,0.99938,0.99858,0.995,0.85618,0.54402,0.76695,0.82561,0.0013399,0.0013399,0.0013399
21,429.441,0.76676,0.60669,0.90574,0.9945,0.99586,0.995,0.81721,0.74034,0.79194,0.8576,0.00133693,0.00133693,0.00133693
22,449.517,0.78737,0.58315,0.89704,0.99571,0.99792,0.995,0.84071,0.65078,0.75329,0.83867,0.00132043,0.00132043,0.00132043
23,469.664,0.71127,0.58932,0.89013,0.9979,0.99923,0.995,0.88085,0.48738,0.70078,0.81828,0.00130393,0.00130393,0.00130393
24,489.725,0.75361,0.59826,0.89053,0.98247,0.99655,0.995,0.86375,0.56186,0.62891,0.83388,0.00128742,0.00128742,0.00128742
25,510.216,0.7154,0.57145,0.87441,0.99209,0.99756,0.995,0.85738,0.57495,0.60728,0.83696,0.00127092,0.00127092,0.00127092
26,530.694,0.74538,0.58883,0.90412,0.99342,0.99784,0.995,0.85979,0.55286,0.61635,0.83019,0.00125442,0.00125442,0.00125442
27,551.127,0.70231,0.56648,0.88079,0.98841,0.99654,0.995,0.85436,0.53026,0.59635,0.82341,0.00123791,0.00123791,0.00123791
28,571.255,0.69402,0.57943,0.88673,0.99499,1,0.995,0.86892,0.52778,0.49862,0.8173,0.00122141,0.00122141,0.00122141
29,591.772,0.71566,0.57471,0.87939,0.99518,1,0.995,0.89319,0.47427,0.45961,0.81275,0.00120491,0.00120491,0.00120491
30,611.843,0.70576,0.56685,0.90274,0.99698,1,0.995,0.90192,0.50006,0.46983,0.81959,0.0011884,0.0011884,0.0011884
31,631.935,0.67053,0.54004,0.86989,0.95579,1,0.9942,0.88386,0.51292,0.515,0.82027,0.0011719,0.0011719,0.0011719
32,652.393,0.64872,0.53517,0.87423,0.98552,0.99734,0.995,0.85816,0.54754,0.47276,0.82888,0.0011554,0.0011554,0.0011554
33,673.341,0.69968,0.554,0.88678,0.99233,0.99911,0.995,0.86343,0.55283,0.46293,0.82454,0.00113889,0.00113889,0.00113889
34,693.48,0.64448,0.53324,0.88234,0.98918,0.99852,0.995,0.88195,0.52969,0.45471,0.81881,0.00112239,0.00112239,0.00112239
35,713.548,0.67343,0.53975,0.87662,0.9915,0.99844,0.995,0.88585,0.50851,0.45876,0.81499,0.00110589,0.00110589,0.00110589
36,733.604,0.63612,0.51858,0.86086,0.99301,1,0.995,0.87091,0.49853,0.48231,0.81737,0.00108938,0.00108938,0.00108938
37,754.048,0.62993,0.52604,0.84954,0.98812,1,0.995,0.86736,0.49817,0.46421,0.81512,0.00107288,0.00107288,0.00107288
38,774.509,0.65468,0.54677,0.8801,0.98953,1,0.995,0.87946,0.47354,0.46691,0.8102,0.00105638,0.00105638,0.00105638
39,795.057,0.68252,0.53849,0.8705,0.99094,1,0.995,0.8664,0.51203,0.44611,0.81988,0.00103987,0.00103987,0.00103987
40,815.618,0.65342,0.51073,0.87082,0.99602,1,0.995,0.87872,0.46937,0.41209,0.80838,0.00102337,0.00102337,0.00102337
41,836.25,0.60462,0.49031,0.8759,0.99557,1,0.995,0.90109,0.45751,0.40139,0.80834,0.00100687,0.00100687,0.00100687
42,857.226,0.60123,0.50182,0.86038,0.99544,0.99995,0.995,0.90285,0.43127,0.40196,0.80586,0.000990365,0.000990365,0.000990365
43,878.308,0.59244,0.47363,0.84924,0.99611,0.99894,0.995,0.90221,0.42201,0.3946,0.80731,0.000973861,0.000973861,0.000973861
44,898.897,0.60561,0.48333,0.84826,0.99523,0.99892,0.995,0.8762,0.51208,0.42278,0.81783,0.000957358,0.000957358,0.000957358
45,919.266,0.61899,0.47028,0.86286,0.99751,1,0.995,0.87963,0.48334,0.40343,0.81578,0.000940855,0.000940855,0.000940855
46,939.834,0.63648,0.49294,0.8805,0.99612,1,0.995,0.89747,0.47455,0.39617,0.81387,0.000924352,0.000924352,0.000924352
47,959.77,0.60971,0.4777,0.85879,0.9963,1,0.995,0.8897,0.4564,0.38587,0.81175,0.000907848,0.000907848,0.000907848
48,980.292,0.61245,0.47754,0.85204,0.99601,1,0.995,0.90018,0.45719,0.39372,0.80845,0.000891345,0.000891345,0.000891345
49,1000.29,0.56891,0.4556,0.83301,0.99456,1,0.995,0.90322,0.43451,0.38313,0.80906,0.000874842,0.000874842,0.000874842
50,1020.35,0.54703,0.4531,0.85597,0.99169,1,0.995,0.91642,0.41281,0.37553,0.80654,0.000858338,0.000858338,0.000858338
51,1040.86,0.56617,0.44386,0.8473,0.99029,1,0.995,0.89705,0.46028,0.37883,0.81045,0.000841835,0.000841835,0.000841835
52,1061.79,0.55518,0.44174,0.84578,0.99468,1,0.995,0.91015,0.40659,0.34409,0.80359,0.000825332,0.000825332,0.000825332
53,1082.44,0.58614,0.45094,0.85291,0.99748,1,0.995,0.89985,0.43518,0.34586,0.80905,0.000808828,0.000808828,0.000808828
54,1102.89,0.57539,0.44297,0.8491,0.9965,1,0.995,0.89152,0.45265,0.34377,0.8115,0.000792325,0.000792325,0.000792325
55,1122.84,0.5373,0.44117,0.83801,0.99632,1,0.995,0.89777,0.44555,0.33682,0.80974,0.000775822,0.000775822,0.000775822
56,1143.3,0.56515,0.43082,0.85177,0.99679,1,0.995,0.89197,0.4562,0.35633,0.80702,0.000759318,0.000759318,0.000759318
57,1163.33,0.55334,0.43325,0.85163,0.99725,1,0.995,0.91363,0.41261,0.35312,0.80556,0.000742815,0.000742815,0.000742815
58,1183.36,0.57135,0.44169,0.8536,0.99636,1,0.995,0.89973,0.44612,0.34004,0.8101,0.000726312,0.000726312,0.000726312
59,1203.74,0.56671,0.43541,0.85207,0.99461,1,0.995,0.89724,0.42376,0.34143,0.80777,0.000709809,0.000709809,0.000709809
60,1223.74,0.56641,0.4311,0.84879,0.99184,0.99899,0.995,0.89228,0.46174,0.34707,0.80866,0.000693305,0.000693305,0.000693305
61,1243.91,0.53553,0.42404,0.84946,0.99207,0.99931,0.995,0.90533,0.43449,0.33911,0.80712,0.000676802,0.000676802,0.000676802
62,1264.91,0.54123,0.41779,0.84997,0.99378,1,0.995,0.89869,0.43687,0.34095,0.81035,0.000660299,0.000660299,0.000660299
63,1285.16,0.55928,0.42619,0.84895,0.99581,1,0.995,0.90045,0.4227,0.33763,0.80816,0.000643795,0.000643795,0.000643795
64,1305.98,0.53044,0.42999,0.84563,0.9975,1,0.995,0.90426,0.43523,0.32753,0.80566,0.000627292,0.000627292,0.000627292
65,1326.02,0.53285,0.41712,0.84071,0.99736,1,0.995,0.89735,0.45736,0.33714,0.81117,0.000610789,0.000610789,0.000610789
66,1346.08,0.53474,0.41226,0.84308,0.99648,1,0.995,0.8972,0.44525,0.32805,0.81167,0.000594286,0.000594286,0.000594286
67,1366.51,0.51486,0.40209,0.85007,0.99674,1,0.995,0.90428,0.42918,0.32403,0.80813,0.000577782,0.000577782,0.000577782
68,1386.91,0.5273,0.40139,0.85036,0.9963,1,0.995,0.9225,0.37485,0.30866,0.80037,0.000561279,0.000561279,0.000561279
69,1407.46,0.49919,0.38709,0.82564,0.99447,0.99947,0.995,0.91087,0.4011,0.30811,0.80127,0.000544776,0.000544776,0.000544776
70,1427.56,0.50632,0.39154,0.83818,0.99408,0.99941,0.995,0.91299,0.42014,0.31133,0.80227,0.000528272,0.000528272,0.000528272
71,1447.74,0.51562,0.39831,0.83835,0.99461,1,0.995,0.91897,0.40838,0.31604,0.8009,0.000511769,0.000511769,0.000511769
72,1468.31,0.50776,0.41523,0.84738,0.99525,1,0.995,0.92411,0.40528,0.30672,0.80085,0.000495266,0.000495266,0.000495266
73,1488.89,0.49748,0.38563,0.84063,0.99571,1,0.995,0.9117,0.40347,0.30325,0.80137,0.000478762,0.000478762,0.000478762
74,1508.94,0.46479,0.38002,0.82774,0.99653,1,0.995,0.91713,0.39435,0.30181,0.80164,0.000462259,0.000462259,0.000462259
75,1529.49,0.47436,0.38434,0.83341,0.99741,1,0.995,0.91375,0.39741,0.30273,0.80287,0.000445756,0.000445756,0.000445756
76,1550.03,0.50373,0.38779,0.85139,0.99714,1,0.995,0.90084,0.4281,0.29884,0.80564,0.000429253,0.000429253,0.000429253
77,1570.15,0.47364,0.37226,0.83043,0.99681,1,0.995,0.91549,0.40033,0.29814,0.80115,0.000412749,0.000412749,0.000412749
78,1590.94,0.46343,0.37957,0.82914,0.99601,1,0.995,0.91226,0.40033,0.29916,0.79922,0.000396246,0.000396246,0.000396246
79,1611.14,0.49641,0.38414,0.83148,0.99603,1,0.995,0.91514,0.40844,0.29955,0.80106,0.000379743,0.000379743,0.000379743
80,1631.81,0.49792,0.38031,0.84168,0.99741,1,0.995,0.90007,0.39686,0.29423,0.80733,0.000363239,0.000363239,0.000363239
81,1651.93,0.48739,0.37767,0.83204,0.99751,1,0.995,0.90612,0.39361,0.29586,0.80851,0.000346736,0.000346736,0.000346736
82,1672.31,0.49586,0.37654,0.84591,0.99776,1,0.995,0.91415,0.39858,0.30002,0.80633,0.000330233,0.000330233,0.000330233
83,1692.25,0.50022,0.38865,0.83697,0.99756,1,0.995,0.92168,0.39672,0.302,0.80318,0.000313729,0.000313729,0.000313729
84,1712.52,0.46264,0.3768,0.82419,0.99625,0.99979,0.995,0.92042,0.39377,0.30549,0.80183,0.000297226,0.000297226,0.000297226
85,1733.03,0.46245,0.36936,0.83757,0.99576,0.99981,0.995,0.91859,0.39172,0.29341,0.8035,0.000280723,0.000280723,0.000280723
86,1753.58,0.45661,0.36656,0.82656,0.99583,1,0.995,0.91435,0.3834,0.28644,0.80262,0.00026422,0.00026422,0.00026422
87,1773.64,0.44938,0.35534,0.8267,0.99587,1,0.995,0.92854,0.37133,0.28459,0.79961,0.000247716,0.000247716,0.000247716
88,1794.06,0.47084,0.37406,0.82867,0.99577,1,0.995,0.9217,0.3849,0.28157,0.79947,0.000231213,0.000231213,0.000231213
89,1814.17,0.46929,0.36163,0.81861,0.99586,1,0.995,0.92632,0.38638,0.2798,0.80013,0.00021471,0.00021471,0.00021471
90,1834.5,0.44859,0.36862,0.82884,0.99586,1,0.995,0.91595,0.37957,0.27457,0.80045,0.000198206,0.000198206,0.000198206
91,1854.35,0.41821,0.40895,0.79675,0.99631,1,0.995,0.91661,0.37615,0.27241,0.80177,0.000181703,0.000181703,0.000181703
92,1874.39,0.40669,0.38561,0.7966,0.99686,1,0.995,0.91637,0.39007,0.28758,0.80568,0.0001652,0.0001652,0.0001652
93,1894.33,0.42661,0.37221,0.78982,0.99701,1,0.995,0.91884,0.38713,0.29712,0.80392,0.000148696,0.000148696,0.000148696
94,1913.87,0.42575,0.36815,0.8038,0.99762,1,0.995,0.9207,0.38718,0.30663,0.80137,0.000132193,0.000132193,0.000132193
95,1933.34,0.38561,0.37732,0.799,0.9982,0.99992,0.995,0.92194,0.39419,0.3139,0.79995,0.00011569,0.00011569,0.00011569
96,1952.92,0.38915,0.37179,0.80177,0.99844,1,0.995,0.91143,0.41148,0.31236,0.80026,9.91865e-05,9.91865e-05,9.91865e-05
97,1972.88,0.42432,0.37466,0.79732,0.99846,1,0.995,0.91058,0.40709,0.30498,0.80012,8.26832e-05,8.26832e-05,8.26832e-05
98,1992.43,0.3907,0.35884,0.80486,0.9985,1,0.995,0.91359,0.40213,0.29746,0.8003,6.61799e-05,6.61799e-05,6.61799e-05
99,2012.03,0.39274,0.34879,0.81734,0.99854,0.9997,0.995,0.91306,0.39606,0.29052,0.80016,4.96766e-05,4.96766e-05,4.96766e-05
100,2031.61,0.37785,0.34656,0.79657,0.99814,1,0.995,0.91969,0.38737,0.28077,0.79995,3.31733e-05,3.31733e-05,3.31733e-05
